tissue	metric	rho	pval	n	fdr	direction
Adipose - Subcutaneous	sLeX_reachability	0.133580998138692	0.000563657938726001	663	0.00429157492657589	increase
Adipose - Subcutaneous	GM3_reach	0.140470128604857	0.000285499331853788	663	0.00283830916460114	increase
Adipose - Subcutaneous	GM2_reach	0.198755205135719	2.47464309638723e-07	663	8.81292251100485e-06	increase
Adipose - Subcutaneous	GM1_reach	0.18895093433616	9.56979952654526e-07	663	2.51549016126333e-05	increase
Adipose - Subcutaneous	GD3_reach	0.115629039761798	0.00286656464825086	663	0.0141280686235221	increase
Adipose - Subcutaneous	Ng_complex	0.0166765038541138	0.668200325872508	663	0.767899967297096	ns
Adipose - Subcutaneous	Ng_branch	0.0187758378587751	0.629390221284735	663	0.746657145917959	ns
Adipose - Subcutaneous	Ng_bisect	0.0169719451190932	0.662681635920062	663	0.76718063709547	ns
Adipose - Subcutaneous	Ng_coreFuc	0.0324427787921	0.404277943123801	663	0.553750433261385	ns
Adipose - Subcutaneous	Ng_sia	0.0780518635070151	0.0445356510438843	663	0.1151460392329	ns
Adipose - Subcutaneous	OGN_Tn	0.0755411844125804	0.0518710933232264	663	0.129854165598281	ns
Adipose - Subcutaneous	OGN_Core1	0.0634824716421435	0.102435419639587	663	0.215552709722905	ns
Adipose - Subcutaneous	OGN_Core2	0.0710787133432448	0.0673919829238516	663	0.158299466272196	ns
Adipose - Subcutaneous	OGN_sia	0.110710214433538	0.00431654125859164	663	0.0200229476869125	increase
Adipose - Subcutaneous	HS_poly	0.157309254663952	4.73706617822382e-05	663	0.000670378042127674	increase
Adipose - Subcutaneous	PAPS	0.0537834183244859	0.166589511414928	663	0.300514412748497	ns
Adipose - Subcutaneous	HS_N	0.0957453632832378	0.0136500527369043	663	0.0484554926737698	increase
Adipose - Subcutaneous	HS_2O	0.0401258223368068	0.302232781535832	663	0.451508783241622	ns
Adipose - Subcutaneous	HS_6O	0.147121852245785	0.00014366784063634	663	0.00170547630174752	increase
Adipose - Subcutaneous	HS_3O	0.112105286657065	0.00384943399922629	663	0.0180841495112588	increase
Adipose - Subcutaneous	reach_FGF_like	0.0746186386590067	0.0548084469238663	663	0.135974214390895	ns
Adipose - Subcutaneous	reach_WNT_like	0.143139885195553	0.000217492176325708	663	0.00231753798929463	increase
Adipose - Subcutaneous	reach_SHH_like	0.131611479884157	0.000680718869313849	663	0.00489442418077036	increase
Muscle - Skeletal	sLeX_reachability	-0.0503835916811903	0.153748707213138	803	0.28769249620899	ns
Muscle - Skeletal	GM3_reach	-0.0237913458144898	0.500803210362724	803	0.639915213241259	ns
Muscle - Skeletal	GM2_reach	-0.0237913458144898	0.500803210362724	803	0.639915213241259	ns
Muscle - Skeletal	GM1_reach	-0.0100624893502211	0.775869132500063	803	0.850605285283088	ns
Muscle - Skeletal	GD3_reach	-0.0238093330654474	0.50047941009159	803	0.639915213241259	ns
Muscle - Skeletal	Ng_complex	0.0107942869751969	0.760051726873628	803	0.839097106468486	ns
