tissue	age	median	q25	q75	n	metric
Adipose - Subcutaneous	60-69	-0.462435705264716	-0.535598471472327	-0.373933301785106	216	sLeX_reachability
Muscle - Skeletal	60-69	-1.89765831207991	-2.11442936874079	-1.57385702620956	264	sLeX_reachability
Artery - Tibial	60-69	-0.728702787895773	-0.922784816342157	-0.541472899426579	195	sLeX_reachability
Artery - Coronary	60-69	-0.472238215046952	-0.674399736230287	-0.433893653738187	76	sLeX_reachability
Heart - Atrial Appendage	60-69	-1.37152665825711	-1.66019617890865	-1.10822836617118	163	sLeX_reachability
Adipose - Visceral (Omentum)	60-69	-0.463442280144484	-0.65212666764255	-0.437121230684279	163	sLeX_reachability
Uterus	60-69	-0.454416444377005	-0.503103484038338	-0.41611136417937	27	sLeX_reachability
Vagina	60-69	-0.291533308596188	-0.469446041181987	-0.0699986584014244	37	sLeX_reachability
Breast - Mammary Tissue	60-69	-0.433246394803727	-0.633079418253012	-0.197701873651849	138	sLeX_reachability
Skin - Not Sun Exposed (Suprapubic)	60-69	-1.01182866177389	-1.27889129724116	-0.754904210613087	202	sLeX_reachability
Minor Salivary Gland	60-69	-0.198655146048541	-0.462696213718899	-0.0273402784259841	51	sLeX_reachability
Brain - Cortex	60-69	-1.13318372759768	-1.4381803222507	-0.929312559527661	122	sLeX_reachability
Adrenal Gland	50-59	-0.75107425618155	-1.00616367981744	-0.458109476368157	89	sLeX_reachability
Thyroid	50-59	-0.464332893851137	-0.614392420427401	-0.441069047804819	211	sLeX_reachability
Lung	50-59	-0.401563152375808	-0.592494039035297	-0.25041119842418	200	sLeX_reachability
Spleen	50-59	-0.686410926737174	-0.853963855201894	-0.465668377524296	86	sLeX_reachability
Pancreas	50-59	-1.8478016315423	-2.15798007359928	-1.59881393729303	118	sLeX_reachability
Esophagus - Muscularis	50-59	-0.643415614470254	-0.844164192983971	-0.451877755748386	166	sLeX_reachability
Esophagus - Mucosa	50-59	-0.693881048717871	-0.889500883851089	-0.476111327769612	181	sLeX_reachability
Esophagus - Gastroesophageal Junction	50-59	-0.692757568325503	-0.914509592168179	-0.484299517032124	137	sLeX_reachability
Stomach	50-59	-1.05037714474203	-1.31419114511514	-0.61130795127386	128	sLeX_reachability
Adipose - Visceral (Omentum)	50-59	-0.470699957076667	-0.706296876982241	-0.437634996048324	184	sLeX_reachability
Skin - Not Sun Exposed (Suprapubic)	50-59	-0.981833963248314	-1.32160112051754	-0.694477478051436	190	sLeX_reachability
Colon - Sigmoid	50-59	-0.620151747382707	-0.84361187536379	-0.444479044208552	109	sLeX_reachability
Small Intestine - Terminal Ileum	50-59	-0.947188080659215	-1.42820705659283	-0.558446887516868	56	sLeX_reachability
Colon - Transverse	50-59	-0.60044048951486	-0.868750915105854	-0.365046524636442	136	sLeX_reachability
Prostate	50-59	-0.586005493527458	-0.867572455112824	-0.38887447296481	72	sLeX_reachability
Testis	50-59	-0.918367516534837	-1.0530141328623	-0.786731260357997	117	sLeX_reachability
Adipose - Subcutaneous	50-59	-0.455003128188087	-0.536781163680511	-0.37931830641296	213	sLeX_reachability
Muscle - Skeletal	50-59	-1.89765814923206	-2.12034101878656	-1.59226012085877	255	sLeX_reachability
Nerve - Tibial	50-59	-0.401241443516186	-0.450830221989688	-0.340844171221906	190	sLeX_reachability
Skin - Sun Exposed (Lower leg)	60-69	-0.659382562234418	-0.952796199616304	-0.439714050206994	232	sLeX_reachability
Nerve - Tibial	60-69	-0.383663833258788	-0.460148077980926	-0.306997069211961	206	sLeX_reachability
Heart - Left Ventricle	60-69	-2.11753568025514	-2.73636582867007	-1.71346368066069	150	sLeX_reachability
Thyroid	60-69	-0.467737382360255	-0.631885756951785	-0.440093001059162	212	sLeX_reachability
Lung	60-69	-0.442093903634123	-0.730418195708794	-0.258826593370032	190	sLeX_reachability
Spleen	60-69	-0.650238158837605	-0.93201688248186	-0.481214565259178	50	sLeX_reachability
Testis	60-69	-0.959000502808926	-1.13678228994025	-0.777087092397412	116	sLeX_reachability
Prostate	60-69	-0.455594129172829	-0.722945998202759	-0.323278401554804	73	sLeX_reachability
Brain - Cerebellum	60-69	-0.92280051064031	-1.19371613738866	-0.680078447785291	115	sLeX_reachability
Cells - Cultured fibroblasts	60-69	-0.472238215046952	-0.609794147540469	-0.454197886043088	149	sLeX_reachability
Colon - Transverse	60-69	-0.567737314395627	-0.774877197380732	-0.277598465292479	94	sLeX_reachability
Whole Blood	60-69	-2.79215592206185	-3.42095529829476	-2.27736867601918	249	sLeX_reachability
Adrenal Gland	60-69	-0.799954137807235	-1.12776131747893	-0.56032436834952	75	sLeX_reachability
Artery - Aorta	60-69	-0.454530589575492	-0.562633555890841	-0.389633239648976	131	sLeX_reachability
Esophagus - Gastroesophageal Junction	60-69	-0.710976620704852	-0.944325140204104	-0.435846595682074	91	sLeX_reachability
Esophagus - Mucosa	60-69	-0.729923173688093	-0.991499765637457	-0.501783321488766	151	sLeX_reachability
Esophagus - Muscularis	60-69	-0.689804738870823	-0.870469393646119	-0.459494790383105	133	sLeX_reachability
Stomach	60-69	-1.08228967674513	-1.42917226624768	-0.736598616432486	79	sLeX_reachability
Pancreas	60-69	-1.8670326404415	-2.2190151179158	-1.62952429831847	79	sLeX_reachability
Small Intestine - Terminal Ileum	60-69	-1.16338334017659	-1.68088923330092	-0.64195560812285	42	sLeX_reachability
Colon - Sigmoid	60-69	-0.635279689419759	-0.864724329962385	-0.458284576972453	123	sLeX_reachability
Cells - EBV-transformed lymphocytes	60-69	-1.05366638613251	-1.35202667264283	-0.664619680665064	46	sLeX_reachability
Pituitary	60-69	-0.623317120046366	-0.921631684718404	-0.340641792630634	138	sLeX_reachability
Whole Blood	50-59	-2.60350254687262	-3.17843423345322	-2.10559668806366	234	sLeX_reachability
Cells - Cultured fibroblasts	50-59	-0.485582713293147	-0.60191177644301	-0.462804902394565	169	sLeX_reachability
Vagina	50-59	-0.366806134913106	-0.522965373470378	-0.17512590201402	50	sLeX_reachability
Uterus	50-59	-0.446209439152368	-0.559583370481342	-0.382040710198043	45	sLeX_reachability
Skin - Sun Exposed (Lower leg)	50-59	-0.748488174182272	-1.01694945370159	-0.48128454973141	218	sLeX_reachability
Pituitary	50-59	-0.597226509711836	-0.831965316919866	-0.359910624454283	87	sLeX_reachability
Artery - Aorta	50-59	-0.464338103937151	-0.573526231622568	-0.419496139934895	149	sLeX_reachability
Heart - Left Ventricle	50-59	-1.96593237216487	-2.40038452369065	-1.62825946268185	154	sLeX_reachability
Heart - Atrial Appendage	50-59	-1.36039073679015	-1.70165283888048	-1.05539917102574	154	sLeX_reachability
Artery - Tibial	50-59	-0.819790953587886	-0.980649729765863	-0.583360107625738	216	sLeX_reachability
Breast - Mammary Tissue	50-59	-0.381951632862613	-0.59513926018788	-0.217074701071808	139	sLeX_reachability
Artery - Coronary	50-59	-0.464313635135098	-0.560493767794504	-0.439476027604112	95	sLeX_reachability
Brain - Frontal Cortex (BA9)	50-59	-0.825918660081056	-1.05508516513815	-0.57461798631418	63	sLeX_reachability
Brain - Caudate (basal ganglia)	50-59	-1.27825148437636	-1.63018999574841	-1.06584527830595	73	sLeX_reachability
Brain - Nucleus accumbens (basal ganglia)	50-59	-1.25448909284781	-1.74080277309842	-1.05107183344815	75	sLeX_reachability
Brain - Putamen (basal ganglia)	50-59	-1.6309887903312	-2.21967497916124	-1.2875530064643	67	sLeX_reachability
Brain - Hypothalamus	50-59	-1.08396007386473	-1.62009110713477	-0.678798462034448	60	sLeX_reachability
Brain - Spinal cord (cervical c-1)	50-59	-1.45846436176826	-1.76596616534783	-1.14405917750267	47	sLeX_reachability
Minor Salivary Gland	50-59	-0.106836791978514	-0.432944175579772	0.0606188497057841	50	sLeX_reachability
Brain - Cortex	50-59	-0.997481704366977	-1.24630043453329	-0.83001436456943	77	sLeX_reachability
Brain - Cerebellum	50-59	-0.823571583116617	-1.01346938613957	-0.648742482504637	75	sLeX_reachability
Whole Blood	40-49	-2.52690538395715	-3.08461036681765	-2.04801563341784	113	sLeX_reachability
Cells - Cultured fibroblasts	40-49	-0.472238215046952	-0.603677144456576	-0.450977229505191	90	sLeX_reachability
Brain - Hippocampus	40-49	-1.48746075690822	-2.09480814410114	-1.11806180279561	21	sLeX_reachability
Brain - Anterior cingulate cortex (BA24)	40-49	-1.21335810379193	-1.65760191262655	-0.980286733651738	24	sLeX_reachability
Brain - Caudate (basal ganglia)	40-49	-1.33171545774914	-1.9879232712848	-1.05108778116902	27	sLeX_reachability
Brain - Nucleus accumbens (basal ganglia)	40-49	-1.2742194903139	-1.52168609519355	-1.10023041915073	24	sLeX_reachability
Brain - Putamen (basal ganglia)	40-49	-1.69864071942385	-1.85656504977739	-1.25407784452429	19	sLeX_reachability
Skin - Sun Exposed (Lower leg)	40-49	-0.7301286640421	-1.07740332366775	-0.504049873495157	107	sLeX_reachability
Adipose - Subcutaneous	40-49	-0.467257041487702	-0.558885611666342	-0.376787079217708	103	sLeX_reachability
Nerve - Tibial	40-49	-0.367404871969192	-0.444646613689835	-0.300642046784563	96	sLeX_reachability
Artery - Tibial	40-49	-0.748450808319183	-0.959087967060549	-0.501444426309685	114	sLeX_reachability
Breast - Mammary Tissue	40-49	-0.367182742400837	-0.56791610906558	-0.167016595948511	76	sLeX_reachability
Muscle - Skeletal	40-49	-1.80767604731359	-2.01848879983337	-1.48184905831053	124	sLeX_reachability
Skin - Not Sun Exposed (Suprapubic)	40-49	-0.890854438553938	-1.2398864306145	-0.561484813432906	91	sLeX_reachability
Brain - Cerebellum	40-49	-0.796664684609249	-0.946795442165182	-0.737841220463277	23	sLeX_reachability
Brain - Cortex	40-49	-1.02322799056072	-1.34568266133617	-0.817828941546658	27	sLeX_reachability
Pituitary	40-49	-0.63587637237388	-0.737921293564211	-0.53680491398752	24	sLeX_reachability
Ovary	60-69	-0.670826620583097	-0.810361648000307	-0.518112471586927	42	sLeX_reachability
Brain - Frontal Cortex (BA9)	60-69	-0.956013174582874	-1.4114898582171	-0.654045754573844	108	sLeX_reachability
Brain - Cerebellar Hemisphere	60-69	-0.873960004011825	-1.14266589345589	-0.701032040606943	106	sLeX_reachability
Brain - Caudate (basal ganglia)	60-69	-1.46005433119748	-1.92144704445162	-1.12303809887756	122	sLeX_reachability
Brain - Nucleus accumbens (basal ganglia)	60-69	-1.38800261160346	-1.72563232563085	-1.2100838794182	120	sLeX_reachability
Brain - Putamen (basal ganglia)	60-69	-1.58003127078545	-2.00247261282183	-1.26933463157408	100	sLeX_reachability
Brain - Hypothalamus	60-69	-1.41383969341309	-1.85850481842818	-0.936293137953489	105	sLeX_reachability
Liver	60-69	-1.0646608150722	-1.32500717897661	-0.900403993783846	79	sLeX_reachability
Liver	50-59	-1.03839273567654	-1.28915780651929	-0.850839429489306	83	sLeX_reachability
Brain - Cerebellar Hemisphere	50-59	-0.797589058696423	-1.12356084401393	-0.648745762892223	65	sLeX_reachability
Brain - Substantia nigra	50-59	-1.40194850642014	-1.99426931349009	-1.11728561567962	35	sLeX_reachability
Brain - Anterior cingulate cortex (BA24)	50-59	-1.11335671198409	-1.61995362117538	-0.988422066594853	41	sLeX_reachability
Brain - Hippocampus	60-69	-1.66850350956863	-2.18857574610216	-1.36299345267126	100	sLeX_reachability
Cells - EBV-transformed lymphocytes	20-29	-0.829612125931467	-1.21996061557758	-0.729684260998771	17	sLeX_reachability
Whole Blood	20-29	-2.42531085991574	-3.06969741743905	-1.9739764728975	68	sLeX_reachability
Thyroid	20-29	-0.460192786312759	-0.487211372187378	-0.430946991619784	47	sLeX_reachability
Artery - Aorta	20-29	-0.472238215046952	-0.682213040354224	-0.425626809072589	37	sLeX_reachability
