cascade	method	method_label	rho	p	partial_rho	partial_p	n	p_bh	partial_p_bh
WNT	reach	Min (bottleneck)	0.854789915966387	2.82518620344571e-15	0.794965028411836	9.04654981009815e-12	50	1.69511172206742e-14	4.07094741454417e-11
WNT	reach_maxor	Min (OR=max)	0.873325330132053	1.32583596194763e-16	0.824828498296307	3.18605962653388e-13	50	1.59100315433716e-15	2.86745366388049e-12
WNT	path_mean	Mean (all genes)	0.718703481392557	4.16371465789502e-09	0.649475555963383	4.44734134225732e-07	50	1.0863346751242e-08	8.00521441606318e-07
WNT	ctrl_mean	Mean (core only)	0.524801920768307	9.13424503960661e-05			50	0.000137013675594099	
EGFR	reach	Min (bottleneck)	-0.717551020408163	4.52639447968415e-09	-0.743032331556558	9.73799831132364e-10	50	1.0863346751242e-08	2.19104962004782e-09
EGFR	reach_maxor	Min (OR=max)	-0.722448979591837	3.16487742343507e-09	-0.74307790871076	9.70289678612287e-10	50	1.0863346751242e-08	2.19104962004782e-09
EGFR	path_mean	Mean (all genes)	-0.471500600240096	0.000547571515938796	-0.402274104912044	0.00416530129314665	50	0.000730095354585062	0.00468596395478998
EGFR	ctrl_mean	Mean (core only)	-0.316206482593037	0.0252792639041972			50	0.0252792639041972	
Selectin	reach	Min (bottleneck)	0.564273709483794	1.97340488585597e-05	0.508229144795883	0.000192900384458275	50	3.38297980432452e-05	0.000248014780017782
Selectin	reach_maxor	Min (OR=max)	0.588441499365274	6.98061757140713e-06	0.555464293362379	3.430777071316e-05	50	1.39612351428143e-05	5.146165606974e-05
Selectin	path_mean	Mean (all genes)	0.447683073229292	0.00111451875630756	0.373422903497549	0.00822144850753793	50	0.00133742250756907	0.00822144850753793
Selectin	ctrl_mean	Mean (core only)	0.351740696278511	0.0122490280339933			50	0.0133625760370836	
