gene	PC1	PC2	PC3	category
FPGT	-0.155970482130825	-0.00511003345675748	0.0560230958316762	Donor: GDP-Fuc
STT3A	-0.155710624656877	0.00772839828757611	0.0514657746471955	N-glycan: OST
ALG3	-0.154054604255222	-0.0492765800697563	0.022387023471072	N-glycan: ER precursor
B4GALT4	-0.150082125575822	0.000750690318207198	-0.00247420157034111	sLeX: LacNAc
STT3B	-0.14950614278607	0.00655284329324554	0.0720947976468409	N-glycan: OST
SLC35B3	-0.14875068223071	0.0657194288521478	0.0073520918776542	Donor: PAPS
SLC35A2	-0.147404098025051	-0.000797918138752908	-0.0653148762294981	Donor: UDP-Gal
MGAT1	-0.146189980813718	-0.0574790541693955	0.0648618318442418	N-glycan: Branching
B4GALT1	-0.145936970937319	-0.101193799471227	0.0281891505146052	sLeX: LacNAc
EXT2	-0.145796790586341	0.0497630114822951	0.0816488413044307	HS: Polymerase
NANP	-0.145474906253084	0.0515609505854261	0.0272724110587288	Donor: CMP-Sia
ALG1	-0.144856910131068	0.0642349275500526	-0.0171862747553562	N-glycan: ER precursor
MGAT2	-0.144804618647634	-0.0209682099028277	0.0295447021820963	N-glycan: Branching
ALG5	-0.144533647242466	0.0260874922723578	0.012038273279316	N-glycan: ER precursor
SLC35B2	-0.144037923806729	0.066301335780589	0.0502577661616245	Donor: PAPS
B4GALT3	-0.142328139284419	0.0322007423123559	-0.0490223681526846	sLeX: LacNAc
C1GALT1C1	-0.139908476124476	-0.0205193454255851	0.074774729384034	O-GalNAc: Core/Ext
UAP1	-0.139602766287154	-0.00434976806509692	0.0414902966064675	Donor: UDP-GalNAc
ALG6	-0.13953513900597	0.067860975555142	-0.0717000962696744	N-glycan: ER precursor
GALNT1	-0.139166634164391	-0.026942522003971	-0.0127266063886728	O-GalNAc: Initiation
NDST2	-0.137977479190788	0.06430996486522	-0.0186931081303623	HS: N-sulfation
NANS	-0.137269040089154	-0.0238208188971805	-0.0796417306126059	Donor: CMP-Sia
MAN1B1	-0.136812172618685	0.116347862905327	-0.0245610918334025	N-glycan: Mannosidase
SLC35D1	-0.136402431764809	-0.0032117635843161	0.0123091161127369	Donor: UDP-GalNAc
UGCG	-0.136254423641983	-0.0112874276716191	-0.0275346645359763	Ganglio
EXT1	-0.135447152435972	-0.0334010449464827	0.101062319736753	HS: Polymerase
SLC35C1	-0.13475509453252	-0.0495487014000001	-0.0485868833365419	Donor: GDP-Fuc
NEU1	-0.129471162230886	0.0292136550258804	-0.0103407455684741	Sialidase
TSTA3	-0.129273129930729	-0.0468878205147563	-0.136357948473161	Donor: GDP-Fuc
MAN1A1	-0.126379816748283	-0.0839527448599058	0.121388550331137	N-glycan: Mannosidase
GALNT2	-0.123346315875979	-0.0301926788152988	0.178075899932485	O-GalNAc: Initiation
MAN1A2	-0.122333758391798	0.129870372364625	0.0733544217143755	N-glycan: Mannosidase
MAN2A1	-0.122195821129718	-0.0269601194200687	0.0932018454718632	N-glycan: Mannosidase
MGAT4B	-0.120550379770603	-0.00942697549175728	-0.0969755867483268	N-glycan: Branching
GALNT10	-0.115398667806467	0.00790743696473743	0.14291051712094	O-GalNAc: Initiation
SLC35A1	-0.115147641623216	0.172912501657858	-0.0152964512487409	Donor: CMP-Sia
GNE	-0.114531818494524	0.0775337919350808	0.0242493563967133	Donor: CMP-Sia
GMDS	-0.112784571884268	-0.0282508270182918	-0.109516163177442	Donor: GDP-Fuc
B3GALT4	-0.111905717033103	0.0205713305253177	-0.0533557499264863	Ganglio
HS3ST5	0.110910224558521	0.133337689663841	-0.00731123798093934	HS: 3-O sulf
PAPSS2	-0.110403141892217	-0.0413580076618215	0.0842157022355461	Donor: PAPS
FUK	-0.109903381593804	0.114581160991944	-0.0986068052885653	Donor: GDP-Fuc
B3GNT2	-0.108082742094092	-0.0271298783436408	0.0105576981416071	PolyLacNAc
B4GALT5	-0.104878624013849	0.0285766592248781	0.0546624132228569	sLeX: LacNAc
C1GALT1	-0.103815848186574	0.0310605468489783	-0.0460352143071261	O-GalNAc: Core/Ext
HS3ST4	0.101835198256317	0.185182696704232	-0.0860595444133262	HS: 3-O sulf
NEU4	0.10028027776517	0.095137674330898	-0.0767214711955479	Sialidase
GALNT7	-0.0972340510358639	0.12728648674102	-0.121949658309715	O-GalNAc: Initiation
GCNT1	-0.0967684668911623	0.061879948131795	-0.0375110817321153	O-GalNAc: Core/Ext
NDST1	-0.0943967010321118	0.0736769147379518	0.0437883555833249	HS: N-sulfation
HS3ST3A1	-0.0939574973779918	-0.0256345733605184	-0.00948241512575939	HS: 3-O sulf
HS3ST3B1	-0.0924185976571875	-0.0906067805283556	-0.0685351950254405	HS: 3-O sulf
ST3GAL1	-0.0915159648046594	-0.115180497193457	0.103810705952765	O-GalNAc: Sialylation
GALNT3	-0.0902446901131839	-0.0456249116591711	-0.257514385665155	O-GalNAc: Initiation
ABO	-0.0886816785970328	-0.0327238524699615	-0.152302387917705	ABO
GALE	-0.0878866643693669	0.0226063922184816	-0.24422974824046	Donor: UDP-Gal
HS6ST3	0.0874569129506536	0.159318652951218	0.0541904118958768	HS: 6-O sulf
CHST3	-0.0871075713204368	0.0369616471954167	0.124153101468742	CS/DS sulfation
ST3GAL4	-0.0862271144658123	0.00363528769726502	0.0258921608877611	sLeX: Sialylation
NEU3	-0.0846457050090174	0.0860732080177291	0.0559951927363873	Sialidase
HS2ST1	-0.0803614204146049	0.158908935372073	0.0583177361729354	HS: 2-O sulf
B4GALNT1	0.0779342361011181	0.210539448822738	0.00965488989592931	Ganglio
CHST1	0.0744541074529065	0.168668441407194	0.0515825677157753	CS/DS sulfation
