sample	GM3_reach	GM2_reach	GM1_reach	GD3_reach
GTEX-1117F-0226-SM-5GZZ7	-0.1010902480862	-0.628985683167715	-0.628985683167715	-0.109996368747829
GTEX-1117F-0426-SM-5EGHI	-1.99971719658939	-1.99971719658939	-2.06052460854521	-1.99971719658939
GTEX-1117F-0526-SM-5EGHJ	-0.726219337945345	-0.726219337945345	-0.726219337945345	-0.797766716340178
GTEX-1117F-0626-SM-5N9CS	0.20914582039222	0.20914582039222	0.20914582039222	0.20914582039222
GTEX-1117F-0726-SM-5GIEN	-1.36559995690976	-1.36559995690976	-1.36559995690976	-1.36559995690976
GTEX-1117F-1326-SM-5EGHH	-0.679496573812613	-0.679496573812613	-0.679496573812613	-0.679496573812613
GTEX-1117F-2426-SM-5EGGH	0.115294917210699	0.100997548577728	0.0105157967591537	0.115294917210699
GTEX-1117F-2526-SM-5GZY6	-1.37073318849518	-1.37073318849518	-1.37073318849518	-1.37073318849518
GTEX-1117F-2826-SM-5GZXL	-0.216435783779588	-0.216435783779588	-0.216435783779588	-0.216435783779588
GTEX-1117F-2926-SM-5GZYI	-0.926405923712048	-0.926405923712048	-0.926405923712048	-0.926405923712048
GTEX-1117F-3026-SM-5GZYU	-0.165238803978902	-0.222766970242153	-0.222766970242153	-0.349079926323301
GTEX-1117F-3226-SM-5N9CT	-1.8211482623559	-1.8211482623559	-1.8211482623559	-1.8211482623559
GTEX-111CU-0126-SM-5GZWZ	-0.696889794043259	-0.696889794043259	-0.696889794043259	-0.696889794043259
GTEX-111CU-0226-SM-5GZXC	-0.414504873366914	-0.414504873366914	-0.414504873366914	-0.817055371024741
GTEX-111CU-0326-SM-5GZXO	-0.735309813789905	-0.738720256458491	-0.738720256458491	-0.912293731791073
GTEX-111CU-0426-SM-5GZY1	-0.223424978904625	-0.770690785298274	-0.770690785298274	-0.486672184323339
GTEX-111CU-0526-SM-5EGHK	-1.90756371630016	-1.90756371630016	-1.90756371630016	-1.90756371630016
GTEX-111CU-0626-SM-5EGHL	-0.811843674225388	-0.811843674225388	-0.811843674225388	-0.811843674225388
GTEX-111CU-0726-SM-5GZYD	-0.870704434934333	-0.870704434934333	-0.870704434934333	-0.870704434934333
GTEX-111CU-0826-SM-5EGIJ	-0.781947830631282	-0.781947830631282	-0.781947830631282	-0.781947830631282
GTEX-111CU-0926-SM-5EGIK	-1.16189528915293	-1.16189528915293	-1.16189528915293	-1.16189528915293
GTEX-111CU-1026-SM-5EGIL	-1.179433581157	-1.179433581157	-1.179433581157	-1.179433581157
GTEX-111CU-1126-SM-5EGIM	-1.3896933274657	-1.3896933274657	-1.3896933274657	-1.3896933274657
GTEX-111CU-1226-SM-5EGIN	-0.561560837962847	-0.561560837962847	-0.561560837962847	-0.561560837962847
GTEX-111CU-1326-SM-5NQ8L	-0.160207306168919	-0.160207306168919	-0.160207306168919	-0.160207306168919
GTEX-111CU-1426-SM-5GZYP	-1.33578252175711	-1.33578252175711	-1.33578252175711	-1.33578252175711
GTEX-111CU-1526-SM-5N9FS	-0.254315276782214	-0.254315276782214	-0.254315276782214	-0.254315276782214
GTEX-111CU-1726-SM-5EGHM	-0.793791045416041	-0.793791045416041	-0.793791045416041	-0.793791045416041
GTEX-111CU-1826-SM-5GZYN	-0.0551654202406877	-0.573178283198878	-0.573178283198878	-0.761880874396755
GTEX-111CU-2026-SM-5GZZC	-1.71295215289427	-1.71295215289427	-1.71295215289427	-1.71295215289427
GTEX-111CU-2226-SM-5N9G5	-0.300862248032679	-0.300862248032679	-0.300862248032679	-0.610085227834159
GTEX-111FC-0126-SM-5N9DL	-1.39542572424955	-1.39542572424955	-1.39542572424955	-1.39542572424955
GTEX-111FC-0226-SM-5N9B8	-0.237474718398263	-0.237474718398263	-0.237474718398263	-0.237474718398263
GTEX-111FC-0326-SM-5GZZ1	-2.28197543874667	-2.28197543874667	-2.28197543874667	-2.28197543874667
GTEX-111FC-0426-SM-5N9CV	-1.2513342756164	-1.2513342756164	-1.2513342756164	-1.2513342756164
GTEX-111FC-0526-SM-5GZZ8	-0.391338724100288	-0.391338724100288	-0.391338724100288	-0.518821861429617
GTEX-111FC-0626-SM-5N9CU	-1.40285298824724	-1.40285298824724	-1.40285298824724	-1.40285298824724
GTEX-111FC-0826-SM-5GZWO	-1.68712846540643	-1.68712846540643	-1.68712846540643	-1.68712846540643
GTEX-111FC-1026-SM-5GZX1	-1.00602909931439	-1.00602909931439	-1.00602909931439	-1.00602909931439
GTEX-111FC-1126-SM-5GZWU	-0.366496294591639	-0.495502310781955	-0.495502310781955	-0.366496294591639
GTEX-111FC-1326-SM-5N9D9	-0.720834560820191	-0.794253032594291	-0.794253032594291	-0.914413889020049
GTEX-111FC-1926-SM-5GZYC	-1.28202490920077	-1.28202490920077	-1.28202490920077	-1.28202490920077
