sample	Ng_complex	Ng_branch	Ng_bisect	Ng_coreFuc	Ng_sia
GTEX-1117F-0226-SM-5GZZ7	0.0144444564290008	0.0144444564290008	0.0144444564290008	0.0144444564290008	-0.434353179843541
GTEX-1117F-0426-SM-5EGHI	-2.69978006209328	-2.69978006209328	-2.69978006209328	-2.69978006209328	-2.69978006209328
GTEX-1117F-0526-SM-5EGHJ	-1.47386490188839	-1.47386490188839	-1.47386490188839	-1.47386490188839	-1.47386490188839
GTEX-1117F-0626-SM-5N9CS	0.0379660417085068	0.0379660417085068	0.0379660417085068	0.0379660417085068	0.0379660417085068
GTEX-1117F-0726-SM-5GIEN	-1.45414472642006	-1.45414472642006	-1.45414472642006	-1.45414472642006	-1.45414472642006
GTEX-1117F-1326-SM-5EGHH	-1.08666406002314	-1.08666406002314	-1.08666406002314	-1.08666406002314	-1.08666406002314
GTEX-1117F-2426-SM-5EGGH	-0.602324347833585	-0.602324347833585	-0.602324347833585	-0.602324347833585	-0.602324347833585
GTEX-1117F-2526-SM-5GZY6	-0.394884587781001	-0.394884587781001	-0.934798516162035	-0.394884587781001	-0.394884587781001
GTEX-1117F-2826-SM-5GZXL	-0.227863729211747	-0.227863729211747	-0.227863729211747	-0.227863729211747	-0.227863729211747
GTEX-1117F-2926-SM-5GZYI	-0.533481744460885	-0.533481744460885	-0.533481744460885	-0.921087809970862	-0.889211083044331
GTEX-1117F-3026-SM-5GZYU	-0.0806431543852503	-0.0806431543852503	-0.243632808245597	-0.0806431543852503	-0.0806431543852503
GTEX-1117F-3226-SM-5N9CT	-2.05289434285046	-2.05289434285046	-2.05289434285046	-2.05289434285046	-2.05289434285046
GTEX-111CU-0126-SM-5GZWZ	-0.45504128821685	-0.45504128821685	-0.656786723729999	-0.45504128821685	-0.696889794043259
GTEX-111CU-0226-SM-5GZXC	0.0471485803853132	0.0471485803853132	-0.392618144598102	-0.121362293410467	-0.0660183996464837
GTEX-111CU-0326-SM-5GZXO	-0.39517282357579	-0.39517282357579	-0.39517282357579	-0.657176531664885	-0.735309813789905
GTEX-111CU-0426-SM-5GZY1	0.164001022538209	0.164001022538209	0.164001022538209	0.164001022538209	-0.147250745372464
GTEX-111CU-0526-SM-5EGHK	-1.49299638816858	-1.49299638816858	-1.49299638816858	-1.49299638816858	-1.49299638816858
GTEX-111CU-0626-SM-5EGHL	-0.922161811666775	-0.922161811666775	-0.922161811666775	-0.922161811666775	-0.922161811666775
GTEX-111CU-0726-SM-5GZYD	-0.648931223036412	-0.648931223036412	-0.648931223036412	-0.648931223036412	-0.648931223036412
GTEX-111CU-0826-SM-5EGIJ	-0.901844508724007	-0.901844508724007	-0.901844508724007	-0.901844508724007	-0.901844508724007
GTEX-111CU-0926-SM-5EGIK	-0.383528752189062	-0.383528752189062	-0.383528752189062	-0.383528752189062	-1.02815428820197
GTEX-111CU-1026-SM-5EGIL	-0.666141869250742	-0.666141869250742	-0.666141869250742	-0.769119194255961	-1.179433581157
GTEX-111CU-1126-SM-5EGIM	-1.10319891134684	-1.10319891134684	-1.10319891134684	-1.10319891134684	-1.31190069396624
GTEX-111CU-1226-SM-5EGIN	-0.446145596126657	-0.446145596126657	-0.446145596126657	-0.446145596126657	-0.508315491417621
GTEX-111CU-1326-SM-5NQ8L	-0.389202274514138	-0.389202274514138	-0.389202274514138	-0.389202274514138	-0.389202274514138
GTEX-111CU-1426-SM-5GZYP	-0.570424199260344	-0.570424199260344	-0.570424199260344	-0.570424199260344	-0.570424199260344
GTEX-111CU-1526-SM-5N9FS	-0.426399907023436	-0.426399907023436	-0.688335240590668	-0.426399907023436	-0.426399907023436
GTEX-111CU-1726-SM-5EGHM	-0.271797689673289	-0.271797689673289	-0.271797689673289	-0.271797689673289	-0.271797689673289
GTEX-111CU-1826-SM-5GZYN	0.215832962009502	0.215832962009502	0.215832962009502	0.211357204386563	-0.00986695908489665
GTEX-111CU-2026-SM-5GZZC	-1.59445767963908	-1.59445767963908	-1.59445767963908	-1.59445767963908	-1.59445767963908
GTEX-111CU-2226-SM-5N9G5	-0.431126892243079	-0.431126892243079	-0.431126892243079	-0.431126892243079	-0.624794420868272
GTEX-111FC-0126-SM-5N9DL	-0.508604576716171	-0.674930753452556	-0.884774660588106	-0.803220128584274	-1.39542572424955
GTEX-111FC-0226-SM-5N9B8	-0.0437331081076033	-0.0437331081076033	-0.0437331081076033	-0.0437331081076033	-0.0437331081076033
GTEX-111FC-0326-SM-5GZZ1	-2.55746442441668	-2.55746442441668	-2.55746442441668	-2.55746442441668	-2.55746442441668
GTEX-111FC-0426-SM-5N9CV	-0.617097733147475	-0.617097733147475	-1.13502311465599	-0.617097733147475	-0.617097733147475
GTEX-111FC-0526-SM-5GZZ8	0.216573427929458	0.216573427929458	0.216573427929458	0.216573427929458	-0.0639908428920915
GTEX-111FC-0626-SM-5N9CU	-0.812853161628665	-0.812853161628665	-0.812853161628665	-0.848116086697117	-0.812853161628665
GTEX-111FC-0826-SM-5GZWO	-1.73308960669124	-1.73308960669124	-1.73308960669124	-1.73308960669124	-1.73308960669124
GTEX-111FC-1026-SM-5GZX1	0.336160050990444	0.336160050990444	-0.371199919652273	0.291376129409431	-0.118899467749746
GTEX-111FC-1126-SM-5GZWU	-0.233729466236398	-0.233729466236398	-0.233729466236398	-0.233729466236398	-0.366496294591639
GTEX-111FC-1326-SM-5N9D9	-0.241812497893761	-0.241812497893761	-0.241812497893761	-0.241812497893761	-0.241812497893761
GTEX-111FC-1926-SM-5GZYC	-0.683318998957211	-0.683318998957211	-0.683318998957211	-0.683318998957211	-0.796483197101946
GTEX-111FC-2026-SM-5GZYO	-0.78059307027571	-0.78059307027571	-0.78059307027571	-0.78059307027571	-0.78059307027571
GTEX-111FC-2526-SM-5GZXU	-0.828311396569396	-0.828311396569396	-0.828311396569396	-0.828311396569396	-0.828311396569396
GTEX-111FC-2926-SM-5GZY7	0.272588559516992	0.272588559516992	-0.688023320403407	0.272588559516992	0.272588559516992
GTEX-111FC-3126-SM-5GZZ2	-1.53801284553044	-1.53801284553044	-1.53801284553044	-1.53801284553044	-1.53801284553044
GTEX-111FC-3326-SM-5GZYV	-1.19398846222062	-1.19398846222062	-1.19398846222062	-1.19398846222062	-1.19398846222062
GTEX-111VG-0008-SM-5Q5BG	0.190350493320395	-0.253764680783608	-1.49548055340967	0.190350493320395	-1.39492852474744
GTEX-111VG-0326-SM-5GZX7	-1.77559315542843	-1.77559315542843	-1.77559315542843	-1.77559315542843	-1.77559315542843
