sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-1117F-0226-SM-5GZZ7	-0.1010902480862	-0.1010902480862	-0.1010902480862	-0.1010902480862
GTEX-1117F-0426-SM-5EGHI	-1.99971719658939	-2.49905010405275	-2.49905010405275	-2.49905010405275
GTEX-1117F-0526-SM-5EGHJ	-0.207442970646405	-0.787728356628631	-0.787728356628631	-0.787728356628631
GTEX-1117F-0626-SM-5N9CS	0.20914582039222	0.20914582039222	0.0275255921177182	0.20914582039222
GTEX-1117F-0726-SM-5GIEN	-0.991741359880085	-1.07691473566038	-1.07691473566038	-1.07691473566038
GTEX-1117F-1326-SM-5EGHH	-0.510992751258525	-0.679496573812613	-0.679496573812613	-0.679496573812613
GTEX-1117F-2426-SM-5EGGH	0.118985152607153	0.0644478529019318	-0.189409688839971	0.0644478529019318
GTEX-1117F-2526-SM-5GZY6	0.243049874420161	-0.440034451826828	-0.750782312120207	-0.825197862645792
GTEX-1117F-2826-SM-5GZXL	0.0965859721129474	-0.052470773037609	-0.599070820218969	-0.216435783779588
GTEX-1117F-2926-SM-5GZYI	-0.0810509632027559	-0.434164345012897	-0.434164345012897	-0.889211083044331
GTEX-1117F-3026-SM-5GZYU	0.409556105849909	-0.165238803978902	-0.165238803978902	-0.367848398455411
GTEX-1117F-3226-SM-5N9CT	-1.2224126628302	-1.71638933899422	-1.71638933899422	-1.71638933899422
GTEX-111CU-0126-SM-5GZWZ	-0.115456176921112	-0.969337134091068	-0.969337134091068	-0.969337134091068
GTEX-111CU-0226-SM-5GZXC	-0.414504873366914	-0.414504873366914	-0.414504873366914	-0.414504873366914
GTEX-111CU-0326-SM-5GZXO	0.297704096946406	-0.213541859963364	-0.213541859963364	-0.735309813789905
GTEX-111CU-0426-SM-5GZY1	-0.281202108240558	-0.281202108240558	-0.281202108240558	-0.281202108240558
GTEX-111CU-0526-SM-5EGHK	-0.903659951306988	-2.15618876196283	-2.15618876196283	-2.15618876196283
GTEX-111CU-0626-SM-5EGHL	-0.811843674225388	-1.23537718462665	-1.23537718462665	-1.23537718462665
GTEX-111CU-0726-SM-5GZYD	-0.0172900207417729	-0.140442501041302	-0.447040387799053	-0.508609246261506
GTEX-111CU-0826-SM-5EGIJ	-0.781947830631282	-1.21087509712186	-1.21087509712186	-1.21087509712186
GTEX-111CU-0926-SM-5EGIK	0.300856014901472	-0.643820835626616	-0.643820835626616	-1.02815428820197
GTEX-111CU-1026-SM-5EGIL	-0.62985513982048	-0.939769268658996	-0.939769268658996	-1.179433581157
GTEX-111CU-1126-SM-5EGIM	-0.300918712442809	-1.57332321917661	-1.57332321917661	-1.57332321917661
GTEX-111CU-1226-SM-5EGIN	-0.561560837962847	-1.12211888956671	-1.12211888956671	-1.12211888956671
GTEX-111CU-1326-SM-5NQ8L	-0.160207306168919	-0.42660923210275	-0.42660923210275	-0.42660923210275
