sample	sLeX_reachability
GTEX-1117F-0226-SM-5GZZ7	-0.1010902480862
GTEX-1117F-0426-SM-5EGHI	-1.99971719658939
GTEX-1117F-0526-SM-5EGHJ	-0.524589783558587
GTEX-1117F-0626-SM-5N9CS	-0.340492213942321
GTEX-1117F-0726-SM-5GIEN	-1.33927232373108
GTEX-1117F-1326-SM-5EGHH	-0.679496573812613
GTEX-1117F-2426-SM-5EGGH	-0.292940919218745
GTEX-1117F-2526-SM-5GZY6	-0.522700473123053
GTEX-1117F-2826-SM-5GZXL	-0.216435783779588
GTEX-1117F-2926-SM-5GZYI	-0.921087809970862
GTEX-1117F-3026-SM-5GZYU	-0.165238803978902
GTEX-1117F-3226-SM-5N9CT	-1.23786867946157
GTEX-111CU-0126-SM-5GZWZ	-0.696889794043259
GTEX-111CU-0226-SM-5GZXC	-0.433441996882903
GTEX-111CU-0326-SM-5GZXO	-0.735309813789905
GTEX-111CU-0426-SM-5GZY1	-0.147250745372464
GTEX-111CU-0526-SM-5EGHK	-1.90756371630016
GTEX-111CU-0626-SM-5EGHL	-0.811843674225388
GTEX-111CU-0726-SM-5GZYD	-0.367528050148423
GTEX-111CU-0826-SM-5EGIJ	-0.781947830631282
GTEX-111CU-0926-SM-5EGIK	-1.02815428820197
GTEX-111CU-1026-SM-5EGIL	-1.179433581157
GTEX-111CU-1126-SM-5EGIM	-1.31190069396624
GTEX-111CU-1226-SM-5EGIN	-0.561560837962847
GTEX-111CU-1326-SM-5NQ8L	-0.160207306168919
GTEX-111CU-1426-SM-5GZYP	-0.439449385397876
GTEX-111CU-1526-SM-5N9FS	-0.354766154185773
GTEX-111CU-1726-SM-5EGHM	-0.790826744671301
GTEX-111CU-1826-SM-5GZYN	-0.340958196179292
GTEX-111CU-2026-SM-5GZZC	-1.35317189122953
GTEX-111CU-2226-SM-5N9G5	-0.456445070663195
GTEX-111FC-0126-SM-5N9DL	-1.39542572424955
GTEX-111FC-0226-SM-5N9B8	-0.386143504649484
GTEX-111FC-0326-SM-5GZZ1	-2.18943650871447
GTEX-111FC-0426-SM-5N9CV	-0.951439789331058
GTEX-111FC-0526-SM-5GZZ8	-0.461175726355328
GTEX-111FC-0626-SM-5N9CU	-1.03535758250116
GTEX-111FC-0826-SM-5GZWO	-1.68712846540643
GTEX-111FC-1026-SM-5GZX1	-0.441969773571832
GTEX-111FC-1126-SM-5GZWU	-0.366496294591639
GTEX-111FC-1326-SM-5N9D9	-0.720834560820191
GTEX-111FC-1926-SM-5GZYC	-1.28202490920077
GTEX-111FC-2026-SM-5GZYO	-0.722945998202759
GTEX-111FC-2526-SM-5GZXU	-0.636026305821377
GTEX-111FC-2926-SM-5GZY7	-0.0162013939340499
GTEX-111FC-3126-SM-5GZZ2	-0.60489749976568
GTEX-111FC-3326-SM-5GZYV	-0.718867753412394
GTEX-111VG-0008-SM-5Q5BG	-0.449520133682407
GTEX-111VG-0326-SM-5GZX7	-1.73837520166444
GTEX-111VG-0526-SM-5N9BW	-1.30344468771608
GTEX-111VG-0726-SM-5GIDC	-0.626717180225428
GTEX-111VG-1626-SM-5EGIO	-1.94951808486176
GTEX-111VG-1926-SM-5GIDO	-1.23457798425527
GTEX-111VG-2226-SM-5N9DU	-0.709885887809074
GTEX-111VG-2326-SM-5N9BK	-0.176487681180199
GTEX-111VG-2426-SM-5GZXD	-0.530810752233462
GTEX-111VG-2526-SM-5GZXP	-0.41635925636258
GTEX-111VG-2626-SM-5GZY2	-2.05210084174796
GTEX-111YS-0006-SM-5NQBE	-2.20763168429061
